OBJECTID|Código de la remoción en masa|Región|Tipo de remoción en masa|Tipo de material|Clasificación de remoción en masa|Detonante|Día del evento|Mes de inicio del evento|Año del evento|Estación de ocurrencia del evento|Método de obtención de la información|Fuente de la información|Autor de la fuente|Nota|Enlace de documento asociado|Latitud|Longitud|Precisión de coordenadas
11|RM-1991-01-005|Antofagasta|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|18|Marzo|1991|Verano (del 21-12 al 20-03)| |1991. Aluviones que afectaron a la ciudad de Antofagasta, II Region, el dia 18 de junio de 1991.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1991-01.pdf|-23.69740441|-70.40437237|Coordenadas exactas
12|RM-1991-01-006|Antofagasta|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|18|Marzo|1991|Verano (del 21-12 al 20-03)| |1991. Aluviones que afectaron a la ciudad de Antofagasta, II Region, el dia 18 de junio de 1991.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1991-01.pdf|-23.71349697|-70.42318011|Coordenadas exactas
13|RM-1991-01-007|Antofagasta|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|18|Marzo|1991|Verano (del 21-12 al 20-03)| |1991. Aluviones que afectaron a la ciudad de Antofagasta, II Region, el dia 18 de junio de 1991.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1991-01.pdf|-23.73510559|-70.43705023|Coordenadas exactas
14|RM-1991-01-008|Antofagasta|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|18|Marzo|1991|Verano (del 21-12 al 20-03)| |1991. Aluviones que afectaron a la ciudad de Antofagasta, II Region, el dia 18 de junio de 1991.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1991-01.pdf|-23.62822067|-70.37191474|Coordenadas exactas
15|RM-1991-02-001|Metropolitana|Caída|Sin información|Caída de bloque/detrito/arena/limo|Sin información| |Sin información|0|Sin información| |1991. Estudio geológico de riesgo volcánico y de remoción en masa del proyecto hidroeléctrico Alfalfal II - Las Lajas [monografías]. Santiago : CHILGENER, 1991.|Moreno, H. ;Thiele, R. ; Varela, J.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1991-02.pdf|-33.5311289|-70.2624198|Coordenadas aproximadas al sector
16|RM-1991-03-001|Metropolitana|Flujo|Suelo/Sedimento|Flujo de detritos|Lluvias|26|Septiembre|1991|Primavera (del 21-09 al 20-12)| |1991. Estudio geotécnico de flujos detríticos en quebrada Las Amarillas, sector Baños Morales, Región Metropolitana|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1991-03.pdf|-33.83017587|-70.07418056|Coordenadas exactas
17|RM-1991-04-001|Metropolitana|Deslizamiento|Sin información|Deslizamiento indeterminado|Sin información| |Sin información|0|Sin información| |1991. Geología del relleno Cuaternario de las hoyas de los ríos Yeso, Volcán y Maipo, este último entre las localidades de Guayacán y Los Queltehues, Región Metropolitana.|Chiu, D.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1991-04.pdf|-33.78427961|-70.23675542|Coordenadas aproximadas al sector
18|RM-1993-01-001|O'Higgins|Deslizamiento|Sin información|Deslizamiento indeterminado|Lluvias|7|Agosto|1944|Invierno (del 21-06 al 20-09)| |1993. Catástrofes en Chile: 1541-1992. Editorial La Noria. Santiago.|Urrutia, L.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1993-01.pdf|-34.08629976|-70.38546687|Coordenadas aproximadas al sector
19|RM-1993-01-002|O'Higgins|Caída|Sin información|Caída indeterminada|Lluvias| |Julio|1965|Invierno (del 21-06 al 20-09)| |1993. Catástrofes en Chile: 1541-1992. Editorial La Noria. Santiago.|Urrutia, L.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1993-01.pdf|-34.08629976|-70.38546687|Coordenadas aproximadas al sector
20|RM-1993-01-003|O'Higgins|Deslizamiento|Sin información|Deslizamiento indeterminado|Lluvias|19|Junio|1971|Otoño (del 21-03 al 20-06)| |1993. Catástrofes en Chile: 1541-1992. Editorial La Noria. Santiago.|Urrutia, L.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1993-01.pdf|-34.19511864|-70.63775422|Coordenadas aproximadas al sector
21|RM-1993-02-001|Araucanía|Caída|Suelo/Sedimento|Caída de bloque/detrito/arena/limo|Sin información|27 y 30|Junio|1993|Invierno (del 21-06 al 20-09)| |1993. Informe geotécnico en relación con inestabilidad de laderas en sector Cumcumllaque, Comuna de Melipeuco, Región IX. Inédito.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1993-02.pdf|-38.8564589|-71.58598394|Coordenadas exactas
22|RM-1993-03-001|Metropolitana|Caída|Roca|Caída de roca|Lluvias| |Junio|1987|Sin información| |1993. Informe geotécnico referido a la evaluación de riesgos de remociones en masa sector Villa del Valle, Baños Morales, Región Metropolitana.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1993-03.pdf|-33.82454831|-70.06141031|Coordenadas exactas
23|RM-1993-03-002|Metropolitana|Caída|Roca|Caída de roca|Lluvias| |Junio|1987|Sin información| |1993. Informe geotécnico referido a la evaluación de riesgos de remociones en masa sector Villa del Valle, Baños Morales, Región Metropolitana.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1993-03.pdf|-33.82513453|-70.06224335|Coordenadas exactas
24|RM-1993-03-003|Metropolitana|Caída|Roca|Caída de roca|Lluvias|7|Junio|1953|Otoño (del 21-03 al 20-06)| |1993. Informe geotécnico referido a la evaluación de riesgos de remociones en masa sector Villa del Valle, Baños Morales, Región Metropolitana.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1993-03.pdf|-33.82427063|-70.06089608|Coordenadas exactas
25|RM-1993-04-001|Bío Bío|Deslizamiento|Sin información|Deslizamiento indeterminado|Vibración artificial (tráfico, explosiones, hincado de pilotes, otro)| |Octubre|1992|Primavera (del 21-09 al 20-12)| |1993. Informe geotécnico sector Km 41.500 camino Contulmo-Peleco, Región VIII.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1993-04.pdf|-37.91359872|-73.29884912|Coordenadas aproximadas al sector
26|RM-1994-01-001|Aysén|Flujo|Sin información|Flujo indeterminado|Lluvias|18|Mayo|1966|Otoño (del 21-03 al 20-06)| |1994. Evaluación de riesgos en la zona urbana de Coyhaique, Región XI. Gobierno Regional Región XI. Servicio Nacional de Geología y Minería|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1994-01.pdf|-45.58476685|-72.08271505|Coordenadas inexactas ubicadas en la ciudad o comuna
27|RM-1994-01-002|Aysén|Deslizamiento|Sin información|Deslizamiento indeterminado|Lluvias| |Sin información|0|Sin información| |1994. Evaluación de riesgos en la zona urbana de Coyhaique, Región XI. Gobierno Regional Región XI. Servicio Nacional de Geología y Minería|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1994-01.pdf|-45.49821344|-72.14764412|Coordenadas inexactas ubicadas en la ciudad o comuna
28|RM-1994-01-003|Aysén|Deslizamiento|Sin información|Deslizamiento traslacional de roca|Excavación pie de ladera/talud| |Sin información|0|Sin información| |1994. Evaluación de riesgos en la zona urbana de Coyhaique, Región XI. Gobierno Regional Región XI. Servicio Nacional de Geología y Minería|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1994-01.pdf|-45.57736039|-72.08066359|Coordenadas aproximadas al sector
29|RM-1994-01-004|Aysén|Deslizamiento|Sin información|Deslizamiento indeterminado|Sin información| |Sin información|0|Sin información| |1994. Evaluación de riesgos en la zona urbana de Coyhaique, Región XI. Gobierno Regional Región XI. Servicio Nacional de Geología y Minería|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1994-01.pdf|-45.60584865|-72.08768735|Coordenadas inexactas ubicadas en la ciudad o comuna
30|RM-1994-01-005|Aysén|Deslizamiento|Sin información|Deslizamiento indeterminado|Sin información| |Sin información|0|Sin información| |1994. Evaluación de riesgos en la zona urbana de Coyhaique, Región XI. Gobierno Regional Región XI. Servicio Nacional de Geología y Minería|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1994-01.pdf|-45.62347652|-72.08782588|Coordenadas inexactas ubicadas en la ciudad o comuna
31|RM-1994-01-006|Aysén|Flujo|Sin información|Flujo indeterminado|Sin información| |Sin información|0|Sin información| |1994. Evaluación de riesgos en la zona urbana de Coyhaique, Región XI. Gobierno Regional Región XI. Servicio Nacional de Geología y Minería|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1994-01.pdf|-45.58197502|-72.043827|Coordenadas aproximadas al sector
32|RM-1995-01-001|Metropolitana|Flujo|Sin información|Flujo indeterminado|Lluvias| |Sin información|0|Sin información| |1995. Estudio de riesgos geológicos en sector de Lo Valdés, comuna de San José de Maipo, Región Metropolitana.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1995-01.pdf|-33.83045633|-70.05817483|Coordenadas aproximadas al sector
33|RM-1995-01-002|Metropolitana|Flujo|Suelo/Sedimento|Flujo de barro|Lluvias|3|Mayo|1994|Otoño (del 21-03 al 20-06)| |1995. Estudio de riesgos geológicos en sector de Lo Valdés, comuna de San José de Maipo, Región Metropolitana.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1995-01.pdf|-33.82896794|-70.05505508|Coordenadas exactas
34|RM-1995-02-001|Metropolitana|Caída|Roca|Caída de roca|Vibración artificial (tráfico, explosiones, hincado de pilotes, otro)|17|Enero|1995|Verano (del 21-12 al 20-03)| |1995. Informe geológico - geotécnico de opinión en relación con desprendimiento ocurrido el día 17 de enero de 1995 en faenas construcción Estación Irarrázaval, línea N° 5 del metro de Santiago, Región Metropolitana.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1995-02.pdf|-33.45280268|-70.62889883|Coordenadas exactas
35|RM-1996-01-001|Metropolitana|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|3|Mayo|1993|Otoño (del 21-03 al 20-06)| |1996. Flujos de detritos y barro que afectaron el sector oriente de Santiago el 3 de Mayo de 1993.|Naranjo, J.A. y Varela, J.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1996-01.pdf|-33.51217289|-70.54030337|Coordenadas exactas
36|RM-1996-02-001|Metropolitana|Flujo|Sin información|Flujo indeterminado|Lluvias| |Sin información|0|Sin información| |1996. Geología, geotécnica y evaluación de riesgo aluvional en torno a la localidad de San Alfonso, Región Metropolitana.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1996-02.pdf|-33.73212539|-70.30939381|Coordenadas aproximadas al sector
37|RM-1996-03-001|Atacama|Flujo|Sin información|Flujo indeterminado|Lluvias|17|Abril|1991|Otoño (del 21-03 al 20-06)| |1996. Informe Geotécnico de opinión en relación con riesgo aluvial en Población Til Til Bajo, Comuna de Copiapó, Tercera Región.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1996-03.pdf|-27.37194537|-70.30258748|Coordenadas inexactas ubicadas en la ciudad o comuna
38|RM-1997-01-001|Antofagasta|Deslizamiento|Sin información|Deslizamiento indeterminado|Evento Sísmico|30|Julio|1995|Invierno (del 21-06 al 20-09)| |1997. Efectos del terremoto de Antofagasta del 30 de julio de 1995, Norte de Chile.|Naranjo, J.A.; Barrientos, S.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1997-01.pdf|-23.66154776|-70.38781198|Coordenadas exactas
39|RM-1997-02-001|Antofagasta|Flujo|Sin información|Flujo indeterminado|Lluvias| |Sin información|0|Sin información| |"1997. El fenómeno de ""El Niño"" y los flujos aluviales en Chile: causas, efectos, mitigación. Inédito."|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1997-02.pdf|-23.67323771|-70.39038671|Coordenadas inexactas ubicadas a nivel de regiones o nacional
40|RM-1997-02-002|Atacama|Flujo|Sin información|Flujo indeterminado|Lluvias|12|Junio|1997|Otoño (del 21-03 al 20-06)| |"1997. El fenómeno de ""El Niño"" y los flujos aluviales en Chile: causas, efectos, mitigación. Inédito."|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1997-02.pdf|-27.3537334|-70.31179628|Coordenadas inexactas ubicadas en la ciudad o comuna
41|RM-1997-02-003|Atacama|Flujo|Sin información|Flujo indeterminado|Lluvias| |Sin información|0|Sin información| |"1997. El fenómeno de ""El Niño"" y los flujos aluviales en Chile: causas, efectos, mitigación. Inédito."|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1997-02.pdf|-27.35261031|-70.31123715|Coordenadas inexactas ubicadas a nivel de regiones o nacional
42|RM-1997-02-004|Coquimbo|Flujo|Sin información|Flujo indeterminado|Lluvias| |Sin información|0|Sin información| |"1997. El fenómeno de ""El Niño"" y los flujos aluviales en Chile: causas, efectos, mitigación. Inédito."|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1997-02.pdf|-29.99857784|-71.31698798|Coordenadas inexactas ubicadas a nivel de regiones o nacional
43|RM-1997-02-005|Valparaíso|Flujo|Sin información|Flujo indeterminado|Lluvias| |Sin información|0|Sin información| |"1997. El fenómeno de ""El Niño"" y los flujos aluviales en Chile: causas, efectos, mitigación. Inédito."|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1997-02.pdf|-33.06327292|-71.61360301|Coordenadas inexactas ubicadas a nivel de regiones o nacional
44|RM-1997-03-001|Antofagasta|Flujo|Sin información|Flujo indeterminado|Lluvias|18|Junio|1991|Otoño (del 21-03 al 20-06)| |1997. Los aluviones del 18 de Junio de 1991 en Antofagasta: un análisis crítico a 5 años del desastre. Boletín No. 49|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1997-03.pdf|-23.64055573|-70.37409208|Coordenadas aproximadas al sector
45|RM-1997-03-002|Antofagasta|Flujo|Sin información|Flujo indeterminado|Lluvias|18|Junio|1991|Otoño (del 21-03 al 20-06)| |1997. Los aluviones del 18 de Junio de 1991 en Antofagasta: un análisis crítico a 5 años del desastre. Boletín No. 49|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1997-03.pdf|-23.5739483|-70.36635326|Coordenadas inexactas ubicadas en la ciudad o comuna
46|RM-1997-03-003|Antofagasta|Flujo|Sin información|Flujo indeterminado|Lluvias|18|Junio|1991|Otoño (del 21-03 al 20-06)| |1997. Los aluviones del 18 de Junio de 1991 en Antofagasta: un análisis crítico a 5 años del desastre. Boletín No. 49|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1997-03.pdf|-23.6047559|-70.37013182|Coordenadas inexactas ubicadas en la ciudad o comuna
47|RM-1997-03-004|Antofagasta|Flujo|Sin información|Flujo indeterminado|Lluvias|18|Junio|1991|Otoño (del 21-03 al 20-06)| |1997. Los aluviones del 18 de Junio de 1991 en Antofagasta: un análisis crítico a 5 años del desastre. Boletín No. 49|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1997-03.pdf|-23.58941668|-70.36655261|Coordenadas inexactas ubicadas en la ciudad o comuna
48|RM-1997-03-005|Antofagasta|Flujo|Sin información|Flujo indeterminado|Lluvias|18|Junio|1991|Otoño (del 21-03 al 20-06)| |1997. Los aluviones del 18 de Junio de 1991 en Antofagasta: un análisis crítico a 5 años del desastre. Boletín No. 49|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1997-03.pdf|-23.65400448|-70.38202657|Coordenadas inexactas ubicadas en la ciudad o comuna
49|RM-1997-03-006|Antofagasta|Flujo|Sin información|Flujo indeterminado|Lluvias|18|Junio|1991|Otoño (del 21-03 al 20-06)| |1997. Los aluviones del 18 de Junio de 1991 en Antofagasta: un análisis crítico a 5 años del desastre. Boletín No. 49|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1997-03.pdf|-23.54781129|-70.36854174|Coordenadas aproximadas al sector
50|RM-1997-03-007|Antofagasta|Flujo|Sin información|Flujo indeterminado|Lluvias|18|Junio|1991|Otoño (del 21-03 al 20-06)| |1997. Los aluviones del 18 de Junio de 1991 en Antofagasta: un análisis crítico a 5 años del desastre. Boletín No. 49|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1997-03.pdf|-23.64016393|-70.38159691|Coordenadas inexactas ubicadas en la ciudad o comuna
51|RM-1998-01-001|Metropolitana|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|25|Diciembre|1991|Verano (del 21-12 al 20-03)| |1998. Metodología para evaluar el peligro de flujos de detritos en ambientes montañosos. Aplicación en la quebrada Lo Cañas, Región Metropolitana. Memoria de título, Universidad de Chile.|Sepulveda, S.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1998-01.pdf|-33.53038781|-70.53999739|Coordenadas exactas
52|RM-1998-01-002|Metropolitana|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|3|Mayo|1993|Otoño (del 21-03 al 20-06)| |1998. Metodología para evaluar el peligro de flujos de detritos en ambientes montañosos. Aplicación en la quebrada Lo Cañas, Región Metropolitana. Memoria de título, Universidad de Chile.|Sepulveda, S.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1998-01.pdf|-33.52940209|-70.51982974|Coordenadas exactas
53|RM-1998-01-003|Metropolitana|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|25|Diciembre|1993|Verano (del 21-12 al 20-03)| |1998. Metodología para evaluar el peligro de flujos de detritos en ambientes montañosos. Aplicación en la quebrada Lo Cañas, Región Metropolitana. Memoria de título, Universidad de Chile.|Sepulveda, S.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1998-01.pdf|-33.5012748|-70.51084766|Coordenadas aproximadas al sector
54|RM-1999-01-001|Bío Bío|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|23|Junio|1999|Invierno (del 21-06 al 20-09)| |1999. Estudio geológico-geotécnico en relación con remociones en masa en sectores puntuales de las comunas de Chiguayante y Penco, Octava Región.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1999-01.pdf|-36.91327335|-73.02131739|Coordenadas aproximadas al sector
55|RM-1999-01-002|Bío Bío|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias| |Junio|1999|Sin información| |1999. Estudio geológico-geotécnico en relación con remociones en masa en sectores puntuales de las comunas de Chiguayante y Penco, Octava Región.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1999-01.pdf|-36.91279016|-73.01936562|Coordenadas exactas
56|RM-1999-01-003|Bío Bío|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|23|Junio|1999|Invierno (del 21-06 al 20-09)| |1999. Estudio geológico-geotécnico en relación con remociones en masa en sectores puntuales de las comunas de Chiguayante y Penco, Octava Región.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1999-01.pdf|-36.74308759|-72.99018315|Coordenadas inexactas ubicadas en la ciudad o comuna
57|RM-2000-01-001|Antofagasta|Flujo|Sin información|Flujo indeterminado|Lluvias|13|Junio|1940|Otoño (del 21-03 al 20-06)| |2000. Antecedentes Sobre Peligro Aluvional en la Ciudad de Antofagasta y Taltal; Aluviones históricos en Antofagasta y su relación con eventos El Niño/Oscilación del Sur|Vargas, G.; Ortilieb, L.; Rutlland, J.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2000-01.pdf|-23.64467628|-70.3829579|Coordenadas inexactas ubicadas en la ciudad o comuna
58|RM-2000-01-002|Antofagasta|Flujo|Sin información|Flujo indeterminado|Lluvias|23|Mayo|1982|Otoño (del 21-03 al 20-06)| |2000. Antecedentes Sobre Peligro Aluvional en la Ciudad de Antofagasta y Taltal; Aluviones históricos en Antofagasta y su relación con eventos El Niño/Oscilación del Sur|Vargas, G.; Ortilieb, L.; Rutlland, J.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2000-01.pdf|-23.73510559|-70.43705023|Coordenadas exactas
59|RM-2000-01-003|Antofagasta|Flujo|Sin información|Flujo indeterminado|Lluvias|25|Junio|1987|Invierno (del 21-06 al 20-09)| |2000. Antecedentes Sobre Peligro Aluvional en la Ciudad de Antofagasta y Taltal; Aluviones históricos en Antofagasta y su relación con eventos El Niño/Oscilación del Sur|Vargas, G.; Ortilieb, L.; Rutlland, J.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2000-01.pdf|-23.65890583|-70.38533306|Coordenadas exactas
60|RM-2000-02-001|Los Ríos|Deslizamiento|Sin información|Deslizamiento indeterminado|Evento Sísmico|7|Noviembre|1837|Primavera (del 21-09 al 20-12)| |2000. El efecto de los desastres naturales en las ciudades Chilenas: Siglos XI Al XX. Cap. 4. SIGLO XVIII|Petit-Breuilh, M.; Sernageomin| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2000-02.pdf|-39.84188675|-73.20381989|Coordenadas inexactas ubicadas a nivel de regiones o nacional
61|RM-2000-03-001|Valparaíso|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias| |Junio|1828|Sin información| |2000. El efecto de los desastres naturales en las ciudades Chilenas: Siglos XI Al XX. Cap. 5. SIGLO XIX|Petit-Breuilh, M.; Sernageomin| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2000-03.pdf|-33.05476888|-71.5959849|Coordenadas inexactas ubicadas en la ciudad o comuna
62|RM-2000-03-002|Maule|Caída|Sin información|Caída indeterminada|Evento Sísmico|1|Diciembre|1928|Primavera (del 21-09 al 20-12)| |2000. El efecto de los desastres naturales en las ciudades Chilenas: Siglos XI Al XX. Cap. 5. SIGLO XIX|Petit-Breuilh, M.; Sernageomin| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2000-03.pdf|-35.43399413|-70.80642302|Coordenadas inexactas ubicadas en la provincia o región
63|RM-2000-03-003|Maule|Flujo|Suelo/Sedimento|Flujo de detritos|Erupción volcánica|3|Diciembre|1762|Primavera (del 21-09 al 20-12)| |2000. El efecto de los desastres naturales en las ciudades Chilenas: Siglos XI Al XX. Cap. 5. SIGLO XIX|Petit-Breuilh, M.; Sernageomin| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-2000-03.pdf|-35.23990278|-70.59593814|Coordenadas aproximadas al sector
